Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC1-CL1,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet3/1,
l3leaf,DC1-CL1,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet3/1,
l3leaf,DC1-CL1,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet3/1,
l3leaf,DC1-CL2,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet4/1,
l3leaf,DC1-CL2,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet4/1,
l3leaf,DC1-CL2,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet4/1,
l3leaf,DC1-CL3,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet5/1,
l3leaf,DC1-CL3,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet5/1,
l3leaf,DC1-CL3,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet5/1,
l3leaf,DC1-CL4,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet6/1,
l3leaf,DC1-CL4,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet6/1,
l3leaf,DC1-CL4,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet6/1,
l3leaf,DC1-CL5,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet7/1,
l3leaf,DC1-CL5,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet7/1,
l3leaf,DC1-CL5,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet7/1,
l3leaf,DC1-CL6,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet8/1,
l3leaf,DC1-CL6,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet8/1,
l3leaf,DC1-CL6,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet8/1,
l3leaf,DC1-CL7,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet9/1,
l3leaf,DC1-CL7,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet9/1,
l3leaf,DC1-CL7,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet9/1,
l3leaf,DC1-CL8,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet10/1,
l3leaf,DC1-CL8,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet10/1,
l3leaf,DC1-CL8,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet10/1,
l3leaf,DC1-CL9,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet11/1,
l3leaf,DC1-CL9,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet11/1,
l3leaf,DC1-CL9,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet11/1,
l3leaf,DC1-CL10,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet12/1,
l3leaf,DC1-CL10,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet12/1,
l3leaf,DC1-CL10,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet12/1,
l3leaf,DC1-CL11,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet13/1,
l3leaf,DC1-CL11,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet13/1,
l3leaf,DC1-CL11,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet13/1,
l3leaf,DC1-CL12,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet14/1,
l3leaf,DC1-CL12,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet14/1,
l3leaf,DC1-CL12,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet14/1,
l3leaf,DC1-CL13,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet15/1,
l3leaf,DC1-CL13,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet15/1,
l3leaf,DC1-CL13,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet15/1,
l3leaf,DC1-CL14,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet16/1,
l3leaf,DC1-CL14,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet16/1,
l3leaf,DC1-CL14,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet16/1,
l3leaf,DC1-CL15,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet17/1,
l3leaf,DC1-CL15,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet17/1,
l3leaf,DC1-CL15,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet17/1,
l3leaf,DC1-CL16,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet18/1,
l3leaf,DC1-CL16,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet18/1,
l3leaf,DC1-CL16,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet18/1,
l3leaf,DC1-CL17,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet19/1,
l3leaf,DC1-CL17,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet19/1,
l3leaf,DC1-CL17,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet19/1,
l3leaf,DC1-CL18,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet20/1,
l3leaf,DC1-CL18,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet20/1,
l3leaf,DC1-CL18,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet20/1,
l3leaf,DC1-CL19,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet21/1,
l3leaf,DC1-CL19,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet21/1,
l3leaf,DC1-CL19,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet21/1,
l3leaf,DC1-CL20,Ethernet49/1,,spine,ISMDC1SP01A,Ethernet22/1,
l3leaf,DC1-CL20,Ethernet50/1,,spine,ISMDC1SP02A,Ethernet22/1,
l3leaf,DC1-CL20,Ethernet51/1,,spine,ISMDC1SP03A,Ethernet22/1,
l3leaf,ISMDC1BL01A,Ethernet3/1,,l3leaf,ISMDC1BL02A,Ethernet3/1,
l3leaf,ISMDC1BL01A,Ethernet4/1,,l3leaf,ISMDC1BL02A,Ethernet4/1,
l3leaf,ISMDC1BL01A,Ethernet25/1,,spine,ISMDC1SP01A,Ethernet1/1,
l3leaf,ISMDC1BL01A,Ethernet26/1,,spine,ISMDC1SP02A,Ethernet1/1,
l3leaf,ISMDC1BL01A,Ethernet27/1,,spine,ISMDC1SP03A,Ethernet1/1,
l3leaf,ISMDC1BL02A,Ethernet25/1,,spine,ISMDC1SP01A,Ethernet2/1,
l3leaf,ISMDC1BL02A,Ethernet26/1,,spine,ISMDC1SP02A,Ethernet2/1,
l3leaf,ISMDC1BL02A,Ethernet27/1,,spine,ISMDC1SP03A,Ethernet2/1,
